data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"28/09/2024";"12:07:09";"59";"Com vítima";"679,700";"BR-40/MG";"Decrescente";"Colisão transversal";2;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"28/09/2024";"04:22:35";"73";"Sem vítima";"584,120";"BR-40/MG";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/09/2024";"03:45:36";"20";"Sem vítima";"735,400";"BR-40/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/09/2024";"04:13:16";"21";"Sem vítima";"717,800";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/09/2024";"05:03:16";"23";"Sem vítima";"653,200";"BR-40/MG";"Decrescente";"Saída de pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"29/09/2024";"05:10:41";"24";"Sem vítima";"750,800";"BR-40/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/09/2024";"05:18:56";"25";"Sem vítima";"730,200";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/09/2024";"08:12:20";"36";"Sem vítima";"563,010";"BR-40/MG";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"29/09/2024";"02:48:08";"59";"Sem vítima";"554,200";"BR-40/MG";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"30/09/2024";"05:44:29";"35";"Sem vítima";"618,300";"BR-40/MG";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"30/09/2024";"02:10:17";"84";"Com vítima";"649,500";"BR-40/MG";"Decrescente";"Colisão transversal";1;0;0;1;0;0;0;0;0;0;0;2;0;0;0
